state,q0,q1,q2,q3,q4,q5,q6,q7,q8
"-1,1,0,1,-1,-1,1,0,0",-99,-99,-7.531738814524706,-99,-99,-99,-99,-7.342833427035779,6.5441232088244
"-1,1,0,1,-1,-1,1,0,1",-99,-99,0,-99,-99,-99,-99,0,-99
"-1,1,0,1,-1,-1,1,1,-1",-99,-99,0,-99,-99,-99,-99,-99,-99
"-1,1,0,1,-1,-1,1,1,0",-99,-99,0,-99,-99,-99,-99,-99,0
"-1,1,0,1,-1,0,-1,-1,1",-99,-99,4.9999999999999964,-99,-99,-19.999999999999986,-99,-99,-99
"-1,1,0,1,-1,0,-1,0,0",-99,-99,-15.798717372861429,-99,-99,-19.699576065862967,-99,-19.998026133714433,-18.359012864076536
"-1,1,0,1,-1,0,-1,0,1",-99,-99,6.660408759871056,-99,-99,-4.773087158409941,-99,-6.8111824841148305,-99
"-1,1,0,1,-1,0,-1,1,-1",-99,-99,0,-99,-99,0,-99,-99,-99
"-1,1,0,1,-1,0,-1,1,0",-99,-99,-9.005777294484574,-99,-99,-19.999999999999986,-99,-99,-13.522353107742598
"-1,1,0,1,-1,0,-1,1,1",-99,-99,0,-99,-99,0,-99,-99,-99
"-1,1,0,1,-1,0,0,-1,0",-99,-99,-13.882532570350264,-99,-99,-19.756430474592698,-16.545346056984936,-99,4.499999999999993
"-1,1,0,1,-1,0,0,-1,1",-99,-99,5.5967898990724905,-99,-99,6.183170261787317,4.499999999999993,-99,-99
"-1,1,0,1,-1,0,0,0,-1",-99,-99,0,-99,-99,0,0,0,-99
"-1,1,0,1,-1,0,0,0,0",-99,-99,-1.4676948479381555,-99,-99,-6.839506134329479,-3.621784415319262,-8.93608337704843,6.064683145811706
"-1,1,0,1,-1,0,0,0,1",-99,-99,0,-99,-99,0,0,0,-99
"-1,1,0,1,-1,0,0,1,-1",-99,-99,0,-99,-99,0,0,-99,-99
"-1,1,0,1,-1,0,0,1,0",-99,-99,0,-99,-99,0,0,-99,0
"-1,1,0,1,-1,0,1,-1,-1",-99,-99,0,-99,-99,0,-99,-99,-99
"-1,1,0,1,-1,0,1,-1,0",-99,-99,-9.723945500631064,-99,-99,-7.044997734142695,-99,-99,4.499999999999993
"-1,1,0,1,-1,0,1,-1,1",-99,-99,0,-99,-99,0,-99,-99,-99
"-1,1,0,1,-1,0,1,0,-1",-99,-99,0,-99,-99,0,-99,0,-99
"-1,1,0,1,-1,0,1,0,0",-99,-99,0,-99,-99,0,-99,0,0
"-1,1,0,1,-1,1,-1,-1,0",-99,-99,-19.999999999999986,-99,-99,-99,-99,-99,-19.999999999999986
"-1,1,0,1,-1,1,-1,-1,1",-99,-99,9.999999999999993,-99,-99,-99,-99,-99,-99
"-1,1,0,1,-1,1,-1,0,-1",-99,-99,0,-99,-99,-99,-99,0,-99
"-1,1,0,1,-1,1,-1,0,0",-99,-99,-3.9951561879132855,-99,-99,-99,-99,-19.999999999999986,-10.225853268983684
"-1,1,0,1,-1,1,-1,0,1",-99,-99,0,-99,-99,-99,-99,0,-99
"-1,1,0,1,-1,1,-1,1,-1",-99,-99,0,-99,-99,-99,-99,-99,-99
"-1,1,0,1,-1,1,-1,1,0",-99,-99,0,-99,-99,-99,-99,-99,0
"-1,1,0,1,-1,1,0,-1,-1",-99,-99,0,-99,-99,-99,0,-99,-99
"-1,1,0,1,-1,1,0,-1,0",-99,-99,-11.893334774531048,-99,-99,-99,-3.8141176253794815,-99,6.74472242335006
"-1,1,0,1,-1,1,0,-1,1",-99,-99,0,-99,-99,-99,0,-99,-99
"-1,1,0,1,-1,1,0,0,-1",-99,-99,0,-99,-99,-99,0,0,-99
"-1,1,0,1,-1,1,0,0,0",-99,-99,0,-99,-99,-99,0,0,0
"-1,1,0,1,-1,1,1,-1,-1",-99,-99,0,-99,-99,-99,-99,-99,-99
"-1,1,0,1,-1,1,1,-1,0",-99,-99,0,-99,-99,-99,-99,-99,0
"-1,1,0,1,0,-1,-1,-1,1",-99,-99,4.9999999999999964,-99,4.9999999999999964,-99,-99,-99,-99
"-1,1,0,1,0,-1,-1,0,0",-99,-99,1.1288730687190949,-99,5.66619332083342,-99,-99,-10.922966444048058,4.499999999999993
"-1,1,0,1,0,-1,-1,0,1",-99,-99,4.499999999999993,-99,6.65081407516067,-99,-99,5.588367938735043,-99
"-1,1,0,1,0,-1,-1,1,-1",-99,-99,-19.999999999999986,-99,9.999999999999993,-99,-99,-99,-99
"-1,1,0,1,0,-1,-1,1,0",-99,-99,6.85850879233234,-99,9.999999999999993,-99,-99,-99,7.221586930913555
"-1,1,0,1,0,-1,-1,1,1",-99,-99,0,-99,0,-99,-99,-99,-99
"-1,1,0,1,0,-1,0,-1,0",-99,-99,-0.4165853387531533,-99,1.5610974036384704,-99,3.494298061929637,-99,4.499999999999993
"-1,1,0,1,0,-1,0,-1,1",-99,-99,4.499999999999993,-99,4.499999999999993,-99,4.499999999999993,-99,-99
"-1,1,0,1,0,-1,0,0,-1",-99,-99,-19.780624316430238,-99,-17.304833896506455,-99,-19.767257501504513,-17.631101216201614,-99
"-1,1,0,1,0,-1,0,0,0",-99,-99,6.049194306439275,-99,8.197365493301536,-99,3.764908138525394,7.511557233019505,6.124410384488687
"-1,1,0,1,0,-1,0,0,1",-99,-99,0,-99,0,-99,0,0,-99
"-1,1,0,1,0,-1,0,1,-1",-99,-99,-2.4688897475360676,-99,9.999999999999993,-99,-19.999999999999986,-99,-99
"-1,1,0,1,0,-1,0,1,0",-99,-99,0,-99,0,-99,0,-99,0
"-1,1,0,1,0,-1,1,-1,-1",-99,-99,-19.999999999999986,-99,-19.999999999999986,-99,-99,-99,-99
"-1,1,0,1,0,-1,1,-1,0",-99,-99,5.9982238515006285,-99,6.106481841528175,-99,-99,-99,4.499999999999993
"-1,1,0,1,0,-1,1,-1,1",-99,-99,0,-99,0,-99,-99,-99,-99
