state,q0,q1,q2,q3,q4,q5,q6,q7,q8
"-1,0,-1,0,1,0,0,0,1",-99,4.04996977887425,-99,-19.499368899001354,-99,-18.316078210498144,-19.594488808191095,-19.236959151046108,-99
"-1,0,-1,0,1,0,0,1,1",-99,0,-99,0,-99,0,0,-99,-99
"-1,0,-1,0,1,0,1,0,0",-99,4.049991836843431,-99,-17.16926767821046,-99,-19.38193691234735,-99,-18.837005259939197,-18.837005259939197
"-1,0,-1,0,1,0,1,0,1",-99,0,-99,0,-99,0,-99,0,-99
"-1,0,-1,0,1,0,1,1,0",-99,0,-99,0,-99,0,-99,-99,0
"-1,0,-1,0,1,1,-1,1,1",-99,0,-99,0,-99,-99,-99,-99,-99
"-1,0,-1,0,1,1,0,0,1",-99,0,-99,0,-99,-99,0,0,-99
"-1,0,-1,0,1,1,0,1,0",-99,0,-99,0,-99,-99,0,-99,0
"-1,0,-1,0,1,1,1,0,0",-99,0,-99,0,-99,-99,-99,0,0
"-1,0,-1,0,1,1,1,1,-1",-99,0,-99,0,-99,-99,-99,-99,-99
"-1,0,-1,1,-1,1,-1,1,1",-99,0,-99,-99,-99,-99,-99,-99,-99
"-1,0,-1,1,-1,1,0,0,1",-99,-19.999901562383236,-99,-99,-99,-99,-19.999901562383236,-19.999901562383236,-99
"-1,0,-1,1,-1,1,0,1,0",-99,-16.998107294060016,-99,-99,-99,-99,-16.998107294060016,-99,-16.998107294060016
"-1,0,-1,1,-1,1,0,1,1",-99,0,-99,-99,-99,-99,0,-99,-99
"-1,0,-1,1,-1,1,1,0,0",-99,-19.84289665577442,-99,-99,-99,-99,-99,-19.84289665577442,-19.825440728638245
"-1,0,-1,1,-1,1,1,0,1",-99,0,-99,-99,-99,-99,-99,0,-99
"-1,0,-1,1,-1,1,1,1,-1",-99,0,-99,-99,-99,-99,-99,-99,-99
"-1,0,-1,1,-1,1,1,1,0",-99,0,-99,-99,-99,-99,-99,-99,0
"-1,0,-1,1,0,0,-1,1,1",-99,-14.916268343341999,-99,-99,-15.424641509007799,-15.424641509007799,-99,-99,-99
"-1,0,-1,1,0,0,0,0,1",-99,3.0309260420856483,-99,-99,-6.878,-9.989859588919833,-9.37118,-8.5624679140884,-99
"-1,0,-1,1,0,0,0,1,0",-99,-14.402970973458611,-99,-99,-15.882177358107018,-14.33202447754814,-14.9850656900295,-99,-14.448264414440782
"-1,0,-1,1,0,0,0,1,1",-99,0,-99,-99,0,0,0,-99,-99
"-1,0,-1,1,0,0,1,0,0",-99,-8.421149326354014,-99,-99,-9.012225819563279,-10.140783128511414,-99,-11.538433479314,-15.424641509007799
"-1,0,-1,1,0,0,1,0,1",-99,0,-99,-99,0,0,-99,0,-99
"-1,0,-1,1,0,0,1,1,-1",-99,-15.424641509007799,-99,-99,-15.882177358107018,-15.882177358107018,-99,-99,-99
"-1,0,-1,1,0,0,1,1,0",-99,0,-99,-99,0,0,-99,-99,0
"-1,0,-1,1,0,1,-1,1,1",-99,0,-99,-99,0,-99,-99,-99,-99
"-1,0,-1,1,0,1,0,0,1",-99,0,-99,-99,0,-99,0,0,-99
"-1,0,-1,1,0,1,0,1,0",-99,0,-99,-99,0,-99,0,-99,0
"-1,0,-1,1,0,1,1,0,0",-99,0,-99,-99,0,-99,-99,0,0
"-1,0,-1,1,0,1,1,1,-1",-99,0,-99,-99,0,-99,-99,-99,-99
"-1,0,-1,1,1,-1,0,0,1",-99,4.499998794422377,-99,-99,-99,-99,-19.499368899001354,-19.499368899001354,-99
"-1,0,-1,1,1,-1,0,1,1",-99,0,-99,-99,-99,-99,0,-99,-99
"-1,0,-1,1,1,-1,1,-1,1",-99,4.9178839836586965,-99,-99,-99,-99,-99,-99,-99
"-1,0,-1,1,1,-1,1,0,0",-99,-19.995145011099368,-99,-99,-99,-99,-99,-19.995145011099368,-19.995145011099368
"-1,0,-1,1,1,-1,1,0,1",-99,0,-99,-99,-99,-99,-99,0,-99
"-1,0,-1,1,1,-1,1,1,-1",-99,0,-99,-99,-99,-99,-99,-99,-99
"-1,0,-1,1,1,-1,1,1,0",-99,0,-99,-99,-99,-99,-99,-99,0
"-1,0,-1,1,1,0,-1,1,1",-99,0,-99,-99,-99,0,-99,-99,-99
"-1,0,-1,1,1,0,0,0,1",-99,0,-99,-99,-99,0,0,0,-99
"-1,0,-1,1,1,0,0,1,0",-99,0,-99,-99,-99,0,0,-99,0
"-1,0,-1,1,1,0,1,0,0",-99,0,-99,-99,-99,0,-99,0,0
"-1,0,-1,1,1,0,1,1,-1",-99,0,-99,-99,-99,0,-99,-99,-99
"-1,0,0,-1,0,1,-1,1,1",-99,0,0,-99,0,-99,-99,-99,-99
"-1,0,0,-1,1,0,-1,1,1",-99,0,0,-99,-99,0,-99,-99,-99
"-1,0,0,-1,1,1,-1,0,1",-99,0,0,-99,-99,-99,-99,0,-99
"-1,0,0,-1,1,1,-1,1,0",-99,0,0,-99,-99,-99,-99,-99,0
"-1,0,0,-1,1,1,0,0,0",-99,-19.671535934634786,-19.825440728638245,-99,-99,-99,4.049959768597091,-15.932624016418675,-17.802327573369865
"-1,0,0,-1,1,1,0,0,1",-99,0,0,-99,-99,-99,0,0,-99
"-1,0,0,-1,1,1,0,1,0",-99,0,0,-99,-99,-99,0,-99,0
"-1,0,0,-1,1,1,1,0,0",-99,0,0,-99,-99,-99,-99,0,0
"-1,0,0,0,-1,1,1,1,-1",-99,0,0,0,-99,-99,-99,-99,-99
"-1,0,0,0,0,0,-1,1,1",-99,-10.588991349945015,-9.37118,-8.35047743532763,-13.190823972901793,-8.577672699799999,-99,-99,-99
"-1,0,0,0,0,1,-1,1,0",-99,-14.023481177152496,-12.790679317647946,-13.09052769389539,-17.298296564654017,-99,-99,-99,-13.43349452319533
"-1,0,0,0,0,1,-1,1,1",-99,0,0,0,0,-99,-99,-99,-99
"-1,0,0,0,1,0,-1,0,1",-99,-19.704382341171307,-19.152176834495677,4.049972581567113,-99,-18.953304733945277,-99,-17.237441115943344,-99
"-1,0,0,0,1,0,-1,1,1",-99,0,0,0,-99,0,-99,-99,-99
"-1,0,0,0,1,0,0,0,0",-99,3.6449901528965603,3.642911617026865,3.644999999999989,-99,3.6432894291558475,3.644812403132112,3.642856130503424,3.6441013120625243
"-1,0,0,0,1,0,0,0,1",-99,0,0,0,-99,0,0,0,-99
"-1,0,0,0,1,0,0,1,0",-99,0,0,0,-99,0,0,-99,0
"-1,0,0,0,1,0,1,0,0",-99,0,0,0,-99,0,-99,0,0
"-1,0,0,0,1,1,-1,0,1",-99,0,0,0,-99,-99,-99,0,-99
"-1,0,0,0,1,1,-1,1,0",-99,0,0,0,-99,-99,-99,-99,0
"-1,0,0,0,1,1,0,0,0",-99,0,0,0,-99,-99,0,0,0
"-1,0,0,1,-1,0,-1,1,1",-99,-18.707783622154665,4.491359367362147,-99,-99,-18.564204024616295,-99,-99,-99
"-1,0,0,1,-1,0,0,0,1",-99,3.833359161819996,4.047556699727857,-99,-99,-17.952253877350348,4.049999999594767,3.9750867077995,-99
"-1,0,0,1,-1,0,0,1,0",-99,-9.274344809871007,-12.25159022,-99,-99,-9.070013033043375,-12.25159022,-99,3.8386106213755253
"-1,0,0,1,-1,0,0,1,1",-99,0,0,-99,-99,0,0,-99,-99
"-1,0,0,1,-1,0,1,-1,1",-99,4.499999999999993,-19.999999757347858,-99,-99,-19.99999994448897,-99,-99,-99
